Bias_Current,Counts_TL1(0.015),Counts_TL2(0.040),DCounts_TL1(0.015),DCounts_TL2(0.040)
0.2941,163.82142857142753,0.7857142857142856,6408.5,1.0
0.298,-23.214285714286234,3.4642857142857135,6800.0,1.0
0.302,-38.39285714285779,0.7857142857142856,6712.5,1.0
0.3059,-224.0000000000009,3.0357142857142847,6886.5,5.0
0.3098,299.1071428571422,1.4642857142857135,6612.5,3.0
0.3137,-86.89285714285779,7.821428571428571,6686.0,2.0
0.3176,-162.03571428571468,11.785714285714285,6654.0,2.5
0.3216,-38.00000000000091,25.64285714285714,6963.0,6.5
0.3255,77.60714285714221,31.89285714285714,6921.5,6.5
0.3294,141.46428571428532,61.14285714285714,6938.0,8.5
0.3333,325.28571428571377,77.03571428571428,6676.5,6.0
0.3373,103.78571428571377,133.28571428571428,6648.0,18.5
0.3412,133.17857142857065,164.82142857142856,6632.0,20.0
0.3451,575.6071428571422,244.46428571428567,6461.0,22.5
0.349,493.78571428571377,367.1785714285714,6670.5,35.5
0.3529,442.3571428571422,450.5714285714285,6638.0,53.0
0.3569,572.2857142857138,616.2499999999999,6729.5,77.5
0.3608,1002.1785714285706,855.142857142857,6688.0,89.5
0.3647,911.5357142857138,1140.4285714285713,7109.0,118.5
0.3686,1623.5714285714275,1433.3214285714284,7292.5,164.0
0.3725,1488.6428571428569,1864.7142857142853,7143.5,208.5
0.3765,2663.8214285714275,2415.3214285714284,7146.0,257.0
0.3804,2528.4285714285706,2991.8571428571427,7330.5,313.5
0.3843,3695.9285714285706,3676.642857142857,7288.0,368.0
0.3882,4551.749999999998,4469.607142857142,7492.0,492.0
0.3922,5249.428571428571,5240.357142857142,7347.0,577.5
0.3961,6300.678571428571,6352.857142857142,7277.0,652.5
0.4,7698.892857142855,7087.714285714285,7252.0,785.5
0.4039,8089.999999999998,8260.17857142857,7422.5,917.5
0.4078,9502.5,9338.67857142857,7610.0,1014.0
0.4118,10287.071428571428,10435.67857142857,8016.5,1204.5
0.4157,11117.535714285714,11577.464285714284,7990.5,1289.5
0.4196,12615.071428571428,12600.535714285714,8076.0,1482.5
0.4235,13772.321428571428,14054.714285714284,8312.5,1618.5
0.4275,14923.928571428569,14966.214285714283,8360.0,1732.0
0.4314,15763.178571428569,15982.071428571428,8914.5,1934.0
0.4353,17013.03571428571,16920.035714285714,8595.0,2000.5
0.4392,18092.392857142855,17942.714285714283,8471.0,2130.5
0.4431,18637.17857142857,18728.571428571428,9078.0,2262.5
0.4471,19474.999999999996,19595.42857142857,8862.5,2463.5
0.451,20107.214285714283,20491.42857142857,9041.0,2567.5
0.4549,21404.321428571424,21262.785714285714,9180.5,2664.0
0.4588,21427.249999999996,21830.35714285714,9229.0,2737.5
0.4627,22809.60714285714,22196.142857142855,9264.5,2898.5
0.4667,22872.53571428571,22826.03571428571,9323.0,3069.5
0.4706,23714.107142857138,23573.53571428571,9447.5,3084.5
0.4745,24063.392857142855,23965.714285714283,9600.0,3145.0
0.4784,24700.107142857138,24273.92857142857,9361.5,3297.5
0.4824,24229.28571428571,24679.821428571428,9847.5,3380.0
0.4863,25343.464285714283,25168.78571428571,9948.5,3370.5
0.4902,25802.75,25311.42857142857,10053.5,3535.0
0.4941,26250.28571428571,25467.17857142857,9701.5,3523.0
0.498,26670.53571428571,25642.92857142857,10662.5,3666.0
0.502,27436.428571428565,26339.03571428571,10497.5,3681.5
0.5059,28076.03571428571,26721.749999999996,10432.0,3747.0
0.5098,27968.714285714283,27249.642857142855,10754.5,3782.5
0.5137,46275.178571428565,58281.78571428571,10577.5,3932.5
0.5176,367515.71428571426,310084.3571428571,11270.0,18946.0
0.5216,699446.3928571427,535010.8928571428,712279.5,168527.5
0.5255,89663.14285714272,118594.71428571409,2618194.0,1058028.5
0.5294,-77969.82142857183,-21115.46428571432,2964547.5,1220261.0
0.5333,-792.428571428638,-5535.571428571595,3059246.0,1102969.5
0.5373,-1167.7142857145518,-2037.8214285714785,3052119.5,970853.0
0.5412,4255.178571428172,-1590.357142857276,3008410.0,854160.0
0.5451,-1020.8214285718277,-437.3571428571595,2926211.0,726294.5
0.549,8007.642857142724,5183.464285714203,2800837.0,588908.5
0.5529,-4491.535714285914,1764.571428571362,2652446.0,478464.0
0.5569,-3089.464285714552,3607.249999999942,2459647.5,382711.5
0.5608,-4519.071428571828,775.1785714285215,2251990.5,297252.5
0.5647,-238.14285714295693,741.1785714285506,2009656.0,214786.5
0.5686,437.7857142854482,248.71428571426077,1760326.5,151924.5
0.5725,-1879.142857142957,476.57142857142026,1515209.5,101577.0
0.5765,12784.785714285681,-370.5357142857247,1249404.5,71150.0
0.5804,-9843.964285714435,1291.8214285714275,1054102.0,46030.5
0.5843,-12962.428571428638,61.07142857142753,860953.5,29505.0
0.5882,2719.321428571362,-138.96428571428623,667090.5,18284.5
