Bias_Current,Counts_TL1(0.040),Counts_TL2(0.048),Counts_TL3(0.056),DCounts_TL1(0.040),DCounts_TL2(0.048),DCounts_TL3(0.056)
0.2941,217.85714285714283,200.99999999999997,211.57142857142856,25.0,24.0,17.0
0.298,317.49999999999994,301.35714285714283,328.57142857142856,20.0,29.0,25.0
0.302,443.21428571428567,432.07142857142856,432.07142857142856,30.0,34.0,34.0
0.3059,532.5714285714286,581.4285714285713,605.1428571428571,46.0,40.0,52.0
0.3098,829.4999999999999,831.7142857142857,792.3571428571428,58.0,54.0,63.0
0.3137,1018.0,1122.8571428571427,1000.4285714285713,82.0,70.0,96.0
0.3176,1431.2142857142856,1442.9285714285713,1387.7857142857142,92.0,91.0,89.0
0.3216,1834.1428571428569,1851.2142857142856,1875.3571428571427,123.0,122.0,130.0
0.3255,2537.285714285714,2418.428571428571,2427.8571428571427,152.0,178.0,165.0
0.3294,3179.428571428571,3281.4999999999995,3162.142857142857,192.0,206.0,220.0
0.3333,4179.0,4269.0,4208.857142857142,296.0,256.0,259.0
0.3373,5515.357142857142,5671.071428571428,5584.642857142857,340.0,370.0,335.0
0.3412,7367.0714285714275,7154.642857142856,6937.5714285714275,474.0,465.0,466.0
0.3451,9625.499999999998,9602.571428571428,9781.785714285714,587.0,626.0,595.0
0.349,12032.999999999998,12403.92857142857,11888.357142857141,792.0,755.0,742.0
0.3529,15591.642857142855,15928.142857142855,15873.928571428569,978.0,979.0,985.0
0.3569,20195.214285714283,20611.071428571428,20504.714285714283,1228.0,1205.0,1206.0
0.3608,25760.85714285714,25393.071428571428,25430.142857142855,1607.0,1523.0,1577.0
0.3647,32209.0,32071.0,32344.642857142855,1941.0,1954.0,1925.0
0.3686,39291.99999999999,39813.57142857143,39593.642857142855,2433.0,2490.0,2501.0
0.3725,48427.99999999999,48622.85714285714,47981.428571428565,3047.0,3020.0,2940.0
0.3765,58367.78571428571,58177.14285714285,57796.14285714285,3634.0,3680.0,3761.0
0.3804,68236.71428571428,68664.42857142857,68526.14285714286,4449.0,4332.0,4331.0
0.3843,79841.14285714286,80136.21428571428,80202.71428571428,5166.0,5112.0,5233.0
0.3882,91434.28571428571,92356.71428571428,92177.57142857142,6130.0,6054.0,6101.0
0.3922,103804.57142857142,102719.35714285713,103148.92857142857,7049.0,7086.0,7060.0
0.3961,115205.7857142857,115261.92857142857,114847.71428571428,8071.0,7972.0,8088.0
0.4,126779.64285714284,126051.57142857142,126935.57142857142,9090.0,9177.0,9118.0
0.4039,137139.71428571426,136748.71428571426,136684.92857142855,10371.0,10587.0,10424.0
0.4078,146941.85714285713,147239.71428571426,147015.2857142857,11451.0,11471.0,11174.0
0.4118,155994.85714285713,156582.49999999997,156672.57142857142,12723.0,12780.0,12556.0
0.4157,165002.14285714284,165113.14285714284,165265.71428571426,13580.0,13669.0,13670.0
0.4196,173048.71428571426,172899.57142857142,172999.85714285713,15062.0,14929.0,15143.0
0.4235,180393.99999999997,181239.07142857142,180309.7857142857,16081.0,16277.0,16092.0
0.4275,188179.21428571426,187967.99999999997,187083.21428571426,17219.0,17132.0,17140.0
0.4314,193995.35714285713,194092.64285714284,193016.28571428568,18185.0,18252.0,18098.0
0.4353,199768.99999999997,199125.14285714284,199642.57142857142,19256.0,19482.0,19361.0
0.4392,204730.64285714284,204669.28571428568,204803.57142857142,20339.0,20445.0,20325.0
0.4431,210888.28571428568,209416.35714285713,210728.35714285713,21151.0,21314.0,21302.0
0.4471,214451.21428571426,214803.64285714284,213684.07142857142,22022.0,21841.0,22357.0
0.451,219178.78571428568,218460.85714285713,219184.5714285714,22673.0,22782.0,23069.0
0.4549,222683.92857142855,223193.92857142855,222832.85714285713,23725.0,23790.0,23660.0
0.4588,227340.42857142855,227353.0714285714,227272.42857142855,24556.0,24388.0,24499.0
0.4627,230618.35714285713,231732.14285714284,231225.85714285713,25312.0,25325.0,25242.0
0.4667,236104.5,235343.71428571426,235590.71428571426,26083.0,26067.0,26045.0
0.4706,239284.21428571426,239308.0,238883.3571428571,26714.0,26692.0,26872.0
0.4745,243706.0,243212.8571428571,244312.21428571426,27394.0,27405.0,27311.0
0.4784,250071.42857142852,248384.0,249149.14285714284,28050.0,28566.0,27983.0
0.4824,257076.42857142852,260365.3571428571,264424.2857142857,37770.0,35965.0,32590.0
0.4863,209408.21428571426,282745.14285714284,209197.99999999994,194565.0,122737.0,178677.0
0.4902,22665.071428571362,94583.14285714284,80904.64285714284,680826.0,577049.0,578115.0
0.4941,-81941.64285714296,-8373.857142857276,-71244.7857142858,1027672.0,904856.0,925818.0
0.498,-16003.571428571478,-25921.357142857276,-19691.57142857148,1050875.0,983466.0,917863.0
0.502,-2555.5000000001164,-11607.214285714319,-3109.714285714319,1028318.0,942734.0,850274.0
0.5059,-192.00000000011642,792.3571428570431,2218.7142857142026,970567.0,862688.0,773217.0
0.5098,-899.214285714319,4.071428571362048,-4489.428571428638,900001.0,783287.0,674868.0
0.5137,1489.571428571362,-10896.714285714319,-4169.714285714319,790464.0,683311.0,577559.0
0.5176,7796.285714285681,-2111.428571428638,-3936.0714285714785,679543.0,563240.0,467370.0
0.5216,-6198.785714285797,-5165.500000000058,-4855.92857142858,588547.0,469728.0,359847.0
0.5196,486.21428571420256,7549.714285714203,90.64285714284051,636787.0,530736.0,434679.0
