Bias_Current,Counts_TL1(0.010),Counts_TL2(0.012),DCounts_TL1(0.010),DCounts_TL2(0.012)
0.0196,-2863.2145090681674,-120.7379612257661,2863.2145090681674,120.7379612257661
0.0225,-2974.096310193871,-165.09068167604752,2974.096310193871,165.09068167604752
0.0255,-3417.623514696685,-273.5084427767354,3417.623514696685,273.5084427767354
0.0284,-3001.2007504690428,-145.37836147592245,3001.2007504690428,145.37836147592245
0.0314,-3062.8017510944337,-381.92620387742335,3062.8017510944337,381.92620387742335
0.0343,37521.694904492964,-182.33896185115697,3087.44215134459,182.33896185115697
0.0373,-2976.5603502188865,-98.56160100062539,2976.5603502188865,98.56160100062539
0.0402,-3136.7229518449026,-579.0494058786742,3136.7229518449026,579.0494058786742
0.0431,16820.41593254667,-172.48280175109443,3484.1525953721075,172.48280175109443
0.0461,16997.826814347798,-142.9143214509068,3306.7417135709816,142.9143214509068
0.049,-3513.721075672295,-524.8405253283302,3513.721075672295,524.8405253283302
0.052,17219.590416599203,-194.65916197623514,3084.9781113195745,194.65916197623514
0.0549,-3153.9712320200124,20095.12512579245,3153.9712320200124,209.44340212632895
0.0578,-3508.792995622264,19848.721123290885,3508.792995622264,455.8474046278924
0.0608,37405.885023317234,20055.7004853922,3203.252032520325,248.8680425265791
0.0637,17325.544137674875,-268.58036272670415,2979.024390243902,268.58036272670415
0.0667,17170.30961609889,-283.36460287679796,3134.258911819887,283.36460287679796
0.0696,-3082.514071294559,20048.308365317152,3082.514071294559,256.260162601626
0.0725,-3284.565353345841,-285.8286429018136,3284.565353345841,285.8286429018136
0.0755,37637.5047856687,20068.020685517276,2971.6322701688555,236.54784240150093
0.0784,-3055.409631019387,-320.3252032520325,3055.409631019387,320.3252032520325
0.0814,-3370.806754221388,-396.71044402751716,3370.806754221388,396.71044402751716
0.0843,37418.20522344231,19893.073843741167,3190.9318323952466,411.49468417761096
0.0873,16849.984412846858,-495.27204502814254,3454.5841150719198,495.27204502814254
0.0902,-3740.4127579737333,19535.7880401139,3740.4127579737333,768.780487804878
0.0931,-3989.2808005003126,19217.926876886882,3989.2808005003126,1086.6416510318948
0.0961,15667.245200839354,18439.290228981943,4637.323327079424,1865.2782989368354
0.099,13870.960022602956,57227.50170633295,6433.608505315822,3686.2038774233893
0.102,70975.25972768512,-7318.198874296435,10243.014383989992,7318.198874296435
0.1049,20776.078894486713,43919.221531223506,19833.058161350844,16994.484052532833
0.1078,1734892.443500538,801972.103503776,173736.9981238274,132038.0487804878
0.1108,1574898.601918077,1670225.5071221543,6282969.418386491,5233327.792370231
